rule,absolutegrowth
B12345678/S8256,2473.64880952
B12345678/S8257,2473.64880952
B12345678/S156,2473.64880952
B12345678/S157,2473.64880952
B12345678/S81,2473.64880952
B12345678/S4567,2473.64880952
B12345678/S82457,2473.64880952
B12345678/S82456,2473.64880952
B12345678/S846,2473.64880952
B12345678/S847,2473.64880952
B12345678/S845,2473.64880952
B12345678/S81347,2473.64880952
B12345678/S13457,2473.64880952
B12345678/S13456,2473.64880952
B12345678/S234567,2473.64880952
B12345678/S1456,2473.64880952
B12345678/S123456,2473.64880952
B12345678/S123457,2473.64880952
B12345678/S123458,2473.64880952
B12345678/S234568,2473.64880952
B12345678/S1234578,2473.64880952
B12345678/S147,2473.64880952
B12345678/S146,2473.64880952
B12345678/S145,2473.64880952
B12345678/S8137,2473.64880952
B12345678/S8136,2473.64880952
B12345678/S8135,2473.64880952
B12345678/S8134,2473.64880952
B12345678/S457,2473.64880952
B12345678/S456,2473.64880952
B12345678/S857,2473.64880952
B12345678/S856,2473.64880952
B12345678/S124678,2473.64880952
B12345678/S81357,2473.64880952
B12345678/S81356,2473.64880952
B12345678/S83467,2473.64880952
B12345678/S13467,2473.64880952
B12345678/S234578,2473.64880952
B12345678/S83456,2473.64880952
B12345678/S83457,2473.64880952
B12345678/S123468,2473.64880952
B12345678/S1234568,2473.64880952
B12345678/S1234567,2473.64880952
B12345678/S8234,2473.64880952
B12345678/S8235,2473.64880952
B12345678/S8236,2473.64880952
B12345678/S8237,2473.64880952
B12345678/S8124,2473.64880952
B12345678/S8125,2473.64880952
B12345678/S8126,2473.64880952
B12345678/S8127,2473.64880952
B12345678/S8123,2473.64880952
B12345678/S467,2473.64880952
B12345678/S867,2473.64880952
B12345678/S81367,2473.64880952
B12345678/S123478,2473.64880952
B12345678/S23456,2473.64880952
B12345678/S23457,2473.64880952
B12345678/S81567,2473.64880952
B12345678/S4,2473.64880952
B12345678/S5,2473.64880952
B12345678/S6,2473.64880952
B12345678/S7,2473.64880952
B12345678/S1,2473.64880952
B12345678/S2,2473.64880952
B12345678/S3,2473.64880952
B12345678/S8,2473.64880952
B12345678/S81346,2473.64880952
B12345678/S2467,2473.64880952
B12345678/S1267,2473.64880952
B12345678/S1467,2473.64880952
B12345678/S16,2473.64880952
B12345678/S17,2473.64880952
B12345678/S14,2473.64880952
B12345678/S15,2473.64880952
B12345678/S12,2473.64880952
B12345678/S13,2473.64880952
B12345678/S267,2473.64880952
B12345678/S345678,2473.64880952
B12345678/S12456,2473.64880952
B12345678/S12457,2473.64880952
B12345678/S134678,2473.64880952
B12345678/S1457,2473.64880952
B12345678/S123678,2473.64880952
B12345678/S1257,2473.64880952
B12345678/S1256,2473.64880952
B12345678/S8357,2473.64880952
B12345678/S8356,2473.64880952
B12345678/S827,2473.64880952
B12345678/S23,2473.64880952
B12345678/S27,2473.64880952
B12345678/S26,2473.64880952
B12345678/S25,2473.64880952
B12345678/S24,2473.64880952
B12345678/S1247,2473.64880952
B12345678/S1245,2473.64880952
B12345678/S24567,2473.64880952
B12345678/S8345,2473.64880952
B12345678/S8346,2473.64880952
B12345678/S8347,2473.64880952
B12345678/S23467,2473.64880952
B12345678/S8167,2473.64880952
B12345678/S34,2473.64880952
B12345678/S35,2473.64880952
B12345678/S36,2473.64880952
B12345678/S37,2473.64880952
B12345678/S245,2473.64880952
B12345678/S246,2473.64880952
B12345678/S247,2473.64880952
B12345678/S135678,2473.64880952
B12345678/S235678,2473.64880952
B12345678/S83567,2473.64880952
B12345678/S2456,2473.64880952
B12345678/S2457,2473.64880952
B12345678/S1246,2473.64880952
B12345678/S1347,2473.64880952
B12345678/S1346,2473.64880952
B12345678/S1345,2473.64880952
B12345678/S145678,2473.64880952
B12345678/S45,2473.64880952
B12345678/S47,2473.64880952
B12345678/S46,2473.64880952
B12345678/S257,2473.64880952
B12345678/S256,2473.64880952
B12345678/S12467,2473.64880952
B12345678/S3467,2473.64880952
B12345678/S8157,2473.64880952
B12345678/S8156,2473.64880952
B12345678/S1356,2473.64880952
B12345678/S1357,2473.64880952
B12345678/S1234678,2473.64880952
B12345678/S8367,2473.64880952
B12345678/S8567,2473.64880952
B12345678/S82567,2473.64880952
B12345678/S56,2473.64880952
B12345678/S57,2473.64880952
B12345678/S82367,2473.64880952
B12345678/S3457,2473.64880952
B12345678/S3456,2473.64880952
B12345678/S136,2473.64880952
B12345678/S137,2473.64880952
B12345678/S134,2473.64880952
B12345678/S135,2473.64880952
B12345678/S8146,2473.64880952
B12345678/S8147,2473.64880952
B12345678/S8145,2473.64880952
B12345678/S356,2473.64880952
B12345678/S357,2473.64880952
B12345678/S1367,2473.64880952
B12345678/S81345,2473.64880952
B12345678/S1567,2473.64880952
B12345678/S67,2473.64880952
B12345678/S14567,2473.64880952
