rule,averagerepetition
B1234567/S82456,2303.0
B1234567/S82457,2303.0
B1234/S8567,2303.0
B123456/S1234578,2303.0
B12345678/S8256,2303.0
B12345678/S8257,2303.0
B1234/S345678,2303.0
B12345678/S156,2303.0
B12345678/S157,2303.0
B1234567/S234578,2303.0
B12345/S81267,2303.0
B12345678/S81,2303.0
B12345/S245678,2303.0
B12345/S81467,2303.0
B12345/S235678,2303.0
B12345678/S4567,2303.0
B12345678/S82457,2303.0
B12345678/S82456,2303.0
B1234567/S83467,2303.0
B1234567/S8367,2303.0
B12345678/S846,2303.0
B12345678/S847,2303.0
B12345678/S845,2303.0
B1234567/S81237,2303.0
B1234567/S81236,2303.0
B1234567/S81235,2303.0
B1234567/S81234,2303.0
B1234567/S8567,2303.0
B12345/S82367,2303.0
B1234567/S81347,2303.0
B1234567/S81346,2303.0
B1234567/S81345,2303.0
B12345678/S81347,2303.0
B12345/S8367,2303.0
B12345/S83567,2303.0
B12345/S82567,2303.0
B12345678/S13457,2303.0
B12345678/S13456,2303.0
B1234567/S867,2303.0
B12345678/S234567,2303.0
B12345678/S1456,2303.0
B12345678/S123456,2303.0
B12345678/S123457,2303.0
B12345/S134678,2303.0
B12345678/S123458,2303.0
B12345678/S234568,2303.0
B12345/S8567,2303.0
B123456/S8167,2303.0
B123456/S8367,2303.0
B123456/S847,2303.0
B1234/S12345678,2303.0
B12345678/S1234578,2303.0
B1234567/S123578,2303.0
B12345678/S147,2303.0
B12345678/S146,2303.0
B12345678/S145,2303.0
B1234567/S8236,2303.0
B123456/S134578,2303.0
B12345678/S8137,2303.0
B12345678/S8136,2303.0
B12345678/S8135,2303.0
B12345678/S8134,2303.0
B123456/S82567,2303.0
B1234567/S83457,2303.0
B1234567/S83456,2303.0
B1234567/S345678,2303.0
B12345678/S457,2303.0
B12345678/S456,2303.0
B12345678/S857,2303.0
B12345678/S856,2303.0
B12345678/S124678,2303.0
B1234567/S134578,2303.0
B12345678/S81357,2303.0
B12345678/S81356,2303.0
B1234567/S81356,2303.0
B1234567/S81357,2303.0
B12345678/S83467,2303.0
B12345678/S13467,2303.0
B12345678/S234578,2303.0
B12345678/S83456,2303.0
B12345678/S83457,2303.0
B12345678/S123468,2303.0
B123456/S123578,2303.0
B12345/S84567,2303.0
B12345678/S1234568,2303.0
B12345678/S1234567,2303.0
B1234567/S123568,2303.0
B1234567/S125678,2303.0
B12345678/S8234,2303.0
B12345678/S8235,2303.0
B12345678/S8236,2303.0
B12345678/S8237,2303.0
B123456/S145678,2303.0
B1234567/S8,2303.0
B12345678/S8124,2303.0
B12345678/S8125,2303.0
B12345678/S8126,2303.0
B12345678/S8127,2303.0
B12345678/S8123,2303.0
B1234567/S8167,2303.0
B12345678/S467,2303.0
B12345678/S867,2303.0
B1234567/S134568,2303.0
B1234567/S81,2303.0
B1234567/S82,2303.0
B1234567/S83,2303.0
B1234567/S84,2303.0
B1234567/S85,2303.0
B1234567/S86,2303.0
B1234567/S87,2303.0
B1234567/S8235,2303.0
B1234567/S8234,2303.0
B1234567/S8237,2303.0
B12345/S2345678,2303.0
B123456/S8567,2303.0
B1234567/S81367,2303.0
B12345678/S81367,2303.0
B12345678/S123478,2303.0
B123456/S345678,2303.0
B123456/S8347,2303.0
B1234/S81567,2303.0
B123/S345678,2303.0
B123456/S81267,2303.0
B123456/S867,2303.0
B12/S1345678,2303.0
B12345678/S23456,2303.0
B12345678/S23457,2303.0
B12345678/S81567,2303.0
B123456/S82367,2303.0
B1234567/S8156,2303.0
B1234567/S8157,2303.0
B123456/S83567,2303.0
B1234/S1345678,2303.0
B123/S1345678,2303.0
B1234567/S812,2303.0
B1234567/S813,2303.0
B1234567/S816,2303.0
B1234567/S817,2303.0
B1234567/S814,2303.0
B1234567/S815,2303.0
B12345678/S4,2303.0
B12345678/S5,2303.0
B12345678/S6,2303.0
B12345678/S7,2303.0
B12345678/S1,2303.0
B12345678/S2,2303.0
B12345678/S3,2303.0
B1234567/S234568,2303.0
B12345678/S8,2303.0
B12345678/S81346,2303.0
B12345678/S2467,2303.0
B123456/S81457,2303.0
B1234567/S81567,2303.0
B123456/S8357,2303.0
B12345678/S1267,2303.0
B12345678/S1467,2303.0
B123456/S234578,2303.0
B12345678/S16,2303.0
B12345678/S17,2303.0
B12345678/S14,2303.0
B12345678/S15,2303.0
B12345678/S12,2303.0
B12345678/S13,2303.0
B12345678/S267,2303.0
B12345678/S345678,2303.0
B12345678/S12456,2303.0
B12345678/S12457,2303.0
B1234/S235678,2303.0
B1234567/S8147,2303.0
B1234567/S8146,2303.0
B12345678/S134678,2303.0
B123/S1245678,2303.0
B12345678/S1457,2303.0
B1234567/S8457,2303.0
B1234567/S8456,2303.0
B1234567/S827,2303.0
B1234567/S826,2303.0
B1234567/S825,2303.0
B1234567/S824,2303.0
B1234567/S823,2303.0
B12345678/S123678,2303.0
B123456/S81467,2303.0
B12345/S82467,2303.0
B12345678/S1257,2303.0
B12345678/S1256,2303.0
B123/S145678,2303.0
B1234/S2345678,2303.0
B123456/S81247,2303.0
B12345/S12345678,2303.0
B1234/S245678,2303.0
B12345678/S8357,2303.0
B12345678/S8356,2303.0
B12345678/S827,2303.0
B123456/S134678,2303.0
B123456/S82347,2303.0
B123456/S1234678,2303.0
B12345678/S23,2303.0
B12345678/S27,2303.0
B12345678/S26,2303.0
B12345678/S25,2303.0
B12345678/S24,2303.0
B123456/S1235678,2303.0
B12345/S135678,2303.0
B1234567/S83567,2303.0
B1234567/S8136,2303.0
B1234567/S8137,2303.0
B1234567/S8134,2303.0
B1234567/S8135,2303.0
B12345/S1235678,2303.0
B1234567/S8267,2303.0
B1234567/S82367,2303.0
B1234567/S8467,2303.0
B1234567/S1245678,2303.0
B1234567/S834,2303.0
B1234567/S835,2303.0
B1234567/S836,2303.0
B123/S245678,2303.0
B1234/S84567,2303.0
B12345/S83467,2303.0
B1234567/S837,2303.0
B12345678/S1247,2303.0
B12345678/S1245,2303.0
B1234567/S1234678,2303.0
B1234/S125678,2303.0
B12345/S1245678,2303.0
B123456/S81257,2303.0
B1234567/S1235678,2303.0
B12345678/S24567,2303.0
B12345/S145678,2303.0
B1234567/S124678,2303.0
B1234567/S123458,2303.0
B1234567/S82567,2303.0
B12345678/S8345,2303.0
B12345678/S8346,2303.0
B12345678/S8347,2303.0
B12345678/S23467,2303.0
B12345678/S8167,2303.0
B12345678/S34,2303.0
B12345678/S35,2303.0
B12345678/S36,2303.0
B12345678/S37,2303.0
B12345678/S245,2303.0
B12345678/S246,2303.0
B12345678/S247,2303.0
B12345678/S135678,2303.0
B123456/S82357,2303.0
B1234567/S8123,2303.0
B1234567/S8125,2303.0
B1234567/S8124,2303.0
B1234567/S8127,2303.0
B1234567/S8126,2303.0
B12/S12345678,2303.0
B1234567/S82357,2303.0
B1234567/S82356,2303.0
B12345678/S235678,2303.0
B123456/S8237,2303.0
B12345678/S83567,2303.0
B12345678/S2456,2303.0
B12345678/S2457,2303.0
B123456/S83467,2303.0
B12345678/S1246,2303.0
B123456/S84567,2303.0
B12345678/S1347,2303.0
B12345678/S1346,2303.0
B12345678/S1345,2303.0
B12345678/S145678,2303.0
B1234567/S123468,2303.0
B123456/S123678,2303.0
B12345678/S45,2303.0
B12345678/S47,2303.0
B12345678/S46,2303.0
B12345/S345678,2303.0
B12345678/S257,2303.0
B12345678/S256,2303.0
B12345678/S12467,2303.0
B12345678/S3467,2303.0
B123/S2345678,2303.0
B1234567/S134678,2303.0
B12345678/S8157,2303.0
B12345678/S8156,2303.0
B12345/S1234678,2303.0
B123/S12345678,2303.0
B1234567/S82346,2303.0
B1234567/S82347,2303.0
B1234567/S82345,2303.0
B1234567/S12345678,2303.0
B1234567/S8245,2303.0
B1234567/S8246,2303.0
B1234567/S8247,2303.0
B12345678/S1356,2303.0
B12345678/S1357,2303.0
B123456/S81237,2303.0
B1234567/S123678,2303.0
B1234567/S123478,2303.0
B12345678/S1234678,2303.0
B12345678/S8367,2303.0
B12345678/S8567,2303.0
B12345678/S82567,2303.0
B12345678/S56,2303.0
B12345678/S57,2303.0
B12345678/S82367,2303.0
