rule,averagesize
B12345678/S8256,10380.08
B12345678/S8257,10380.08
B12345678/S156,10380.08
B12345678/S157,10380.08
B12345678/S81,10380.08
B12345678/S4567,10380.08
B12345678/S82457,10380.08
B12345678/S82456,10380.08
B12345678/S846,10380.08
B12345678/S847,10380.08
B12345678/S845,10380.08
B12345678/S81347,10380.08
B12345678/S13457,10380.08
B12345678/S13456,10380.08
B12345678/S234567,10380.08
B12345678/S1456,10380.08
B12345678/S123456,10380.08
B12345678/S123457,10380.08
B12345678/S123458,10380.08
B12345678/S234568,10380.08
B12345678/S1234578,10380.08
B12345678/S147,10380.08
B12345678/S146,10380.08
B12345678/S145,10380.08
B12345678/S8137,10380.08
B12345678/S8136,10380.08
B12345678/S8135,10380.08
B12345678/S8134,10380.08
B12345678/S457,10380.08
B12345678/S456,10380.08
B12345678/S857,10380.08
B12345678/S856,10380.08
B12345678/S124678,10380.08
B12345678/S81357,10380.08
B12345678/S81356,10380.08
B12345678/S83467,10380.08
B12345678/S13467,10380.08
B12345678/S234578,10380.08
B12345678/S83456,10380.08
B12345678/S83457,10380.08
B12345678/S123468,10380.08
B12345678/S1234568,10380.08
B12345678/S1234567,10380.08
B12345678/S8234,10380.08
B12345678/S8235,10380.08
B12345678/S8236,10380.08
B12345678/S8237,10380.08
B12345678/S8124,10380.08
B12345678/S8125,10380.08
B12345678/S8126,10380.08
B12345678/S8127,10380.08
B12345678/S8123,10380.08
B12345678/S467,10380.08
B12345678/S867,10380.08
B12345678/S81367,10380.08
B12345678/S123478,10380.08
B12345678/S23456,10380.08
B12345678/S23457,10380.08
B12345678/S81567,10380.08
B12345678/S4,10380.08
B12345678/S5,10380.08
B12345678/S6,10380.08
B12345678/S7,10380.08
B12345678/S1,10380.08
B12345678/S2,10380.08
B12345678/S3,10380.08
B12345678/S8,10380.08
B12345678/S81346,10380.08
B12345678/S2467,10380.08
B12345678/S1267,10380.08
B12345678/S1467,10380.08
B12345678/S16,10380.08
B12345678/S17,10380.08
B12345678/S14,10380.08
B12345678/S15,10380.08
B12345678/S12,10380.08
