rule,maxdistance
B123/S124678,1967.629227
B12345/S1345,1967.629227
B12345/S1347,1967.629227
B12345/S1346,1967.629227
B123/S123457,1967.629227
B123/S123456,1967.629227
B123456/S456,1967.629227
B123456/S457,1967.629227
B1234567/S82456,1967.629227
B1234567/S82457,1967.629227
B1234/S1367,1967.629227
B1234/S8567,1967.629227
B123456/S1234578,1967.629227
B12345/S12456,1967.629227
B12345/S12457,1967.629227
B1/S816,1967.629227
B12/S134578,1967.629227
B12345/S13457,1967.629227
B12345/S13456,1967.629227
B12345678/S8256,1967.629227
B12345678/S8257,1967.629227
B1/S2367,1967.629227
B1234/S345678,1967.629227
B12345/S1235,1967.629227
B1234567/S1567,1967.629227
B12345/S1237,1967.629227
B12345/S1236,1967.629227
B12345678/S156,1967.629227
B12345678/S157,1967.629227
B12/S1267,1967.629227
B12/S23457,1967.629227
B1234567/S234578,1967.629227
B12345/S826,1967.629227
B12345/S827,1967.629227
B12345/S824,1967.629227
B12345/S825,1967.629227
B1234/S8146,1967.629227
B12345/S823,1967.629227
B1234567/S267,1967.629227
B1234/S8145,1967.629227
B12/S12367,1967.629227
B1234567/S23567,1967.629227
B12345/S81267,1967.629227
B1234/S3456,1967.629227
B12345678/S81,1967.629227
B12345/S245678,1967.629227
B1/S24567,1967.629227
B123/S123458,1967.629227
B1234/S234567,1967.629227
B12/S123568,1967.629227
B1234567/S467,1967.629227
B12/S123567,1967.629227
B1234/S234568,1967.629227
B123456/S124568,1967.629227
B12345/S81467,1967.629227
B1/S856,1967.629227
B1/S23,1967.629227
B123456/S124567,1967.629227
B1/S25,1967.629227
B1/S24,1967.629227
B1/S27,1967.629227
B1/S26,1967.629227
B12/S15,1967.629227
B12/S14,1967.629227
B12/S17,1967.629227
B12/S16,1967.629227
B1234/S124578,1967.629227
B123/S4567,1967.629227
B12/S13,1967.629227
B12/S12,1967.629227
B12345/S235678,1967.629227
B123/S2347,1967.629227
B123/S2346,1967.629227
B123/S2345,1967.629227
B123/S12567,1967.629227
B12345678/S4567,1967.629227
B12345678/S82457,1967.629227
