rule,timetodeath
B123/S124678,25039.0
B12345/S1345,25039.0
B12345/S1347,25039.0
B12345/S1346,25039.0
B123/S123457,25039.0
B123/S123456,25039.0
B123456/S456,25039.0
B123456/S457,25039.0
B1234567/S82456,25039.0
B1234567/S82457,25039.0
B1234/S1367,25039.0
B1234/S8567,25039.0
B123456/S1234578,25039.0
B12345/S12456,25039.0
B12345/S12457,25039.0
B1/S816,25039.0
B12/S134578,25039.0
B12345/S13457,25039.0
B12345/S13456,25039.0
B12345678/S8256,25039.0
B12345678/S8257,25039.0
B1/S2367,25039.0
B1234/S345678,25039.0
B12345/S1235,25039.0
B1234567/S1567,25039.0
B12345/S1237,25039.0
B12345/S1236,25039.0
B12345678/S156,25039.0
B12345678/S157,25039.0
B12/S1267,25039.0
B12/S23457,25039.0
B1234567/S234578,25039.0
B12345/S826,25039.0
B12345/S827,25039.0
B12345/S824,25039.0
B12345/S825,25039.0
B1234/S8146,25039.0
B12345/S823,25039.0
B1234567/S267,25039.0
B1234/S8145,25039.0
B12/S12367,25039.0
B1234567/S23567,25039.0
B12345/S81267,25039.0
B1234/S3456,25039.0
B12345678/S81,25039.0
B12345/S245678,25039.0
B1/S24567,25039.0
B123/S123458,25039.0
B1234/S234567,25039.0
B12/S123568,25039.0
B1234567/S467,25039.0
B12/S123567,25039.0
B1234/S234568,25039.0
B123456/S124568,25039.0
B12345/S81467,25039.0
B1/S856,25039.0
B1/S23,25039.0
B123456/S124567,25039.0
B1/S25,25039.0
B1/S24,25039.0
B1/S27,25039.0
B1/S26,25039.0
B12/S15,25039.0
B12/S14,25039.0
B12/S17,25039.0
B12/S16,25039.0
B1234/S124578,25039.0
B123/S4567,25039.0
B12/S13,25039.0
B12/S12,25039.0
B12345/S235678,25039.0
B123/S2347,25039.0
B123/S2346,25039.0
B123/S2345,25039.0
B123/S12567,25039.0
B12345678/S4567,25039.0
B12345678/S82457,25039.0
B12345678/S82456,25039.0
B1234567/S83467,25039.0
B1234567/S8367,25039.0
B12345678/S846,25039.0
B12345678/S847,25039.0
B12345678/S845,25039.0
B123/S13567,25039.0
B1234567/S81237,25039.0
B1234567/S81236,25039.0
B1234567/S81235,25039.0
B1234567/S81234,25039.0
B123456/S24567,25039.0
B1234/S123578,25039.0
B12/S357,25039.0
B12/S356,25039.0
B1234/S81256,25039.0
B1234/S81257,25039.0
B1234567/S8567,25039.0
B12345/S82367,25039.0
B1234567/S81347,25039.0
B1234567/S81346,25039.0
B1234567/S81345,25039.0
B12345678/S81347,25039.0
B123/S8257,25039.0
B123/S8256,25039.0
B12/S81457,25039.0
B12/S81456,25039.0
B12/S8367,25039.0
B123/S815,25039.0
B12345/S8367,25039.0
B1/S83467,25039.0
B12345/S83567,25039.0
B12345/S82567,25039.0
B12345/S367,25039.0
B12/S8357,25039.0
B12345678/S13457,25039.0
B12345678/S13456,25039.0
B1234/S267,25039.0
B1234567/S867,25039.0
B123/S1456,25039.0
B123/S1457,25039.0
B12/S8247,25039.0
B12345678/S234567,25039.0
B12345678/S1456,25039.0
B12345678/S123456,25039.0
B12345678/S123457,25039.0
B12345/S134678,25039.0
B12345678/S123458,25039.0
B1234/S14567,25039.0
B12345678/S234568,25039.0
B1234/S867,25039.0
B12345/S8567,25039.0
B123456/S8167,25039.0
B1234/S467,25039.0
B123456/S8367,25039.0
B12/S24567,25039.0
B123456/S847,25039.0
B123456/S846,25039.0
B123456/S845,25039.0
B12/S8356,25039.0
B123456/S123567,25039.0
B1234/S12345678,25039.0
B123456/S14567,25039.0
B1234567/S123,25039.0
B1234567/S126,25039.0
B1234567/S127,25039.0
B1234567/S124,25039.0
B1234567/S125,25039.0
B123456/S15,25039.0
B123456/S14,25039.0
B123456/S17,25039.0
